# ID RA DEC Redshift
SDSSJ005343.78+012147.7 13.432433 1.363237 1.3572555780410767
SDSSJ010413.86-011552.2 16.05776900000001 -1.2644867 1.3658679723739624
SDSSJ011818.14+001455.3 19.57556399999999 0.24868711 1.371575117111206
SDSSJ011128.39+000143.8 17.86828300000002 0.028819758 0.7650137543678284
SDSSJ010925.97-003739.1 17.35819500000002 -0.62752001 1.3594541549682617
SDSSJ012110.75-005037.2 20.29478699999999 -0.84366598 1.3514631986618042
SDSSJ012016.43+001437.6 20.06844999999998 0.243771 1.3367441892623901
SDSSJ013303.18+005102.7 23.26326599999999 0.85074697 0.31281334161758423
SDSSJ220242.61-012528.1 330.6775600000001 -1.4244673 1.3761225938796997
SDSSJ220851.96-010603.8 332.21651 -1.101054 0.3516475558280945
SDSSJ225257.45+002731.5 343.23938 0.45874975 1.3849033117294312
SDSSJ235546.15-002343.0 358.94228 -0.39527 3.2469112873077393
SDSSJ231652.05+005125.9 349.21687 0.857197 3.2295327186584473
SDSSJ224956.09+000218.2 342.4837 0.038386003 3.3081398010253906
SDSSJ233300.23-002030.6 353.25094 -0.34182101 3.323340892791748
SDSSJ233522.69-000635.3 353.84455 -0.109802 1.376104474067688
SDSSJ233836.99-004118.5 354.65413 -0.688483 1.3596904277801514
SDSSJ231311.92-004538.2 348.2996499999999 -0.760598 1.3698234558105469
SDSSJ230946.15+000048.9 347.44229 0.013581997 0.35164299607276917
SDSSJ223844.30-005655.4 339.6845900000001 -0.948711 1.3617863655090332
SDSSJ223823.26-005708.2 339.5969299999999 -0.952284 0.36115288734436035
SDSSJ224539.94-002419.7 341.41641 -0.40546601 3.277073621749878
SDSSJ215010.52-001000.6 327.54385 -0.16682801 0.33476608991622925
SDSSJ013951.08+002537.9 24.96284900000001 0.427196 1.3420792818069458
SDSSJ001204.64-004113.7 3.019316000000003 -0.687147 1.3263593912124634
SDSSJ000230.71+004959.1 0.6279739999999947 0.83307 1.3550816774368286
SDSSJ001940.23-005435.9 4.917628999999977 -0.90998398 1.3750669956207275
SDSSJ001731.27-004859.3 4.380308000000014 -0.81648599 1.3565946817398071
SDSSJ001327.31+005232.1 3.363802000000021 0.87557 0.36244115233421326
SDSSJ001535.54+005356.1 3.898099999999999 0.898913 1.360476016998291
SDSSJ000710.01+005329.1 1.791723999999988 0.89140898 0.31579041481018066
SDSSJ003722.18-001140.6 9.342412000000024 -0.194614 1.3692479133605957
SDSSJ003242.74+003110.9 8.178088000000002 0.519708 0.36079299449920654
