# ID_1                     RA_1       DEC_1     Redshift    ID_2                      RA_2               DEC_2                Sep                  Separation          
  LAMOST120038.28+011246.3 180.15948  1.212869  -9999.0     iDR3.SPLUS-n02n23.022190  180.15952618608105 1.2129112212203665   0.2252469615110166   0.2252469615173849  
  LAMOST034247.71+010932.9 55.69881   1.159136  0.358567    iDR3.STRIPE82-0080.039699 55.69883615683876  1.1591704436722594   0.15568769205583086  0.15568769205466096 
  LAMOST020922.00-005455.6 32.341666  -0.91544  1.372737    iDR3.STRIPE82-0047.013896 32.34166379711758  -0.9153964683450351  0.1569144334171516   0.15691443341665964 
  LAMOST213338.14+012628.8 323.408931 1.441333  2.8918E-4   iDR3.STRIPE82-0120.045064 323.408936906668   1.4413770493499045   0.1599960810586965   0.15999608106574464 
  LAMOST213818.97+011222.4 324.57906  1.206231  0.343778    iDR3.STRIPE82-0122.053411 324.57901744173665 1.2062510372667887   0.16931084335262325  0.16931084323338974 
  LAMOST121855.80+020002.2 184.73252  2.000607  0.327502    iDR3.SPLUS-n02n26.033149  184.73251321873698 2.0005938638657152   0.05321276274026064  0.05321276272606805 
  LAMOST033429.44+000611.0 53.62267   0.103061  0.347373    iDR3.STRIPE82-0078.003916 53.62265212610798  0.10308047306115554  0.0951568662955814   0.09515686629483448 
  LAMOST005343.78+012147.7 13.432433  1.363237  1.3599      iDR3.STRIPE82-0020.062391 13.432315634808461 1.363190953245345    0.4537584817724063   0.4537584817754547  
  LAMOST215010.53-001000.7 327.54386  -0.166866 0.33466     iDR3.STRIPE82-0125.053114 327.54385873207247 -0.16682656475967428 0.14204022545562567  0.1420402254537076  
  LAMOST215444.76-023811.8 328.686516 -2.636616 1.3675      iDR3.SPLUS-s03s04.030944  328.68652388503295 -2.6365998811838343  0.06458548621115898  0.06458548626506357 
  LAMOST012226.19-000729.8 20.609128  -0.124931 2.4175E-4   iDR3.STRIPE82-0031.049213 20.609179383725586 -0.12488451775286076 0.24943802260018078  0.24943802260027018 
  LAMOST120700.40+011156.3 181.751655 1.19897   -9999.0     iDR3.SPLUS-n02n24.020916  181.7517098625927  1.1990112046487067   0.2469717882172747   0.2469717882373579  
  LAMOST230316.41-001211.5 345.81836  -0.203195 1.51505     iDR3.STRIPE82-0151.054324 345.8183544369748  -0.20316870490727099 0.09675757722743844  0.09675757723482648 
  LAMOST000230.71+004959.1 0.627957   0.833095  1.35864     iDR3.STRIPE82-0002.034805 0.6279554824066291 0.8331230804411939   0.10123708112049021  0.1012370811204918  
  LAMOST000710.02+005329.0 1.791736   0.891402  0.31591     iDR3.STRIPE82-0004.031191 1.791687271704504  0.8914261244525057   0.1957241996494507   0.19572419964966992 
  LAMOST220242.61-012528.1 330.67756  -1.424467 1.37148     iDR3.SPLUS-s02s05.026507  330.67753876061363 -1.4244675396774724  0.07646284839634662  0.07646284826741709 
  LAMOST035538.45+002835.0 58.910218  0.476383  1.35535     iDR3.STRIPE82-0086.013095 58.910210785695284 0.4763724886809515   0.04589547124204878  0.045895471225472106
  LAMOST115748.00+014320.8 179.45     1.722435  1.36        iDR3.SPLUS-n02n22.059209  179.4500979791226  1.722464633451602    0.3683518984339772   0.36835189843938876 
  LAMOST224531.20-004509.6 341.37998  -0.752655 1.378075    iDR3.STRIPE82-0145.029745 341.3799836615205  -0.7525947660724432  0.21724234073560914  0.2172423407340452  
  LAMOST030612.72+012157.3 46.55299   1.365928  1.337728    iDR3.STRIPE82-0068.063428 46.55298185202796  1.3659244829765937   0.03194098397791503  0.031940983969701325
  LAMOST232551.47-014023.6 351.46447  -1.673218 2.9609E-4   iDR3.SPLUS-s02s21.009573  351.46448670155314 -1.6732732825345382  0.20789377154290264  0.2078937715326085  
  LAMOST233438.55+002341.8 353.66061  0.394952  1.39        iDR3.STRIPE82-0164.020336 353.660612982189   0.3949855898346673   0.12139902584779892  0.12139902585472362 
  LAMOST233722.02+002239.1 354.34174  0.377523  1.38        iDR3.STRIPE82-0164.019383 354.3417350883094  0.37754676359646666  0.08735711177832187  0.08735711176823585 
  LAMOST020115.53+003135.1 30.314723  0.526407  0.362155    iDR3.STRIPE82-0044.021486 30.31471271654344  0.5264157435180954   0.04859195416486119  0.0485919541687238  
  LAMOST122406.30+004500.2 186.02625  0.750059  0.352172    iDR3.SPLUS-n02n27.006203  186.02626911438938 0.7501115320338491   0.20124327949566284  0.2012432794780327  
